calories_day,Gender,weight,weight_fixed
,2,187.0,187.0
3.0,1,155.0,155.0
4.0,1,,158.5
3.0,1,,158.5
2.0,1,190.0,190.0
3.0,1,190.0,190.0
3.0,2,180.0,180.0
3.0,1,137.0,137.0
,1,180.0,180.0
3.0,1,125.0,125.0
3.0,1,116.0,116.0
4.0,1,110.0,110.0
3.0,2,264.0,264.0
3.0,1,123.0,123.0
3.0,2,185.0,185.0
,2,180.0,180.0
3.0,1,145.0,145.0
3.0,2,170.0,170.0
3.0,1,135.0,135.0
2.0,2,165.0,165.0
3.0,2,175.0,175.0
3.0,2,195.0,195.0
3.0,2,185.0,185.0
3.0,2,185.0,185.0
2.0,1,105.0,105.0
3.0,1,125.0,125.0
2.0,2,160.0,160.0
4.0,2,175.0,175.0
2.0,2,180.0,180.0
2.0,2,167.0,167.0
3.0,1,115.0,115.0
3.0,2,205.0,205.0
3.0,2,,158.5
3.0,1,128.0,128.0
3.0,1,150.0,150.0
2.0,1,150.0,150.0
3.0,1,150.0,150.0
4.0,1,170.0,170.0
3.0,1,150.0,150.0
,2,175.0,175.0
3.0,2,140.0,140.0
4.0,1,120.0,120.0
3.0,1,135.0,135.0
2.0,1,100.0,100.0
4.0,1,170.0,170.0
3.0,1,113.0,113.0
2.0,2,168.0,168.0
,2,145.0,145.0
,2,155.0,155.0
3.0,2,150.0,150.0
3.0,2,169.0,169.0
4.0,2,185.0,185.0
4.0,2,200.0,200.0
,2,265.0,265.0
3.0,2,165.0,165.0
2.0,1,192.0,192.0
4.0,2,175.0,175.0
4.0,1,140.0,140.0
3.0,1,155.0,155.0
,1,155.0,155.0
4.0,1,135.0,135.0
2.0,1,118.0,118.0
4.0,2,210.0,210.0
4.0,1,180.0,180.0
3.0,1,140.0,140.0
,1,112.0,112.0
3.0,1,125.0,125.0
2.0,1,,158.5
3.0,1,145.0,145.0
4.0,1,130.0,130.0
3.0,1,140.0,140.0
,1,140.0,140.0
3.0,2,140.0,140.0
4.0,2,200.0,200.0
2.0,2,,158.5
3.0,1,120.0,120.0
3.0,1,150.0,150.0
2.0,2,200.0,200.0
3.0,1,135.0,135.0
3.0,2,145.0,145.0
2.0,1,130.0,130.0
3.0,1,190.0,190.0
,1,170.0,170.0
3.0,1,127.0,127.0
3.0,1,167.0,167.0
3.0,1,140.0,140.0
3.0,1,190.0,190.0
3.0,2,155.0,155.0
4.0,2,175.0,175.0
3.0,1,129.0,129.0
4.0,2,260.0,260.0
2.0,1,135.0,135.0
,2,190.0,190.0
,2,165.0,165.0
3.0,2,175.0,175.0
,2,184.0,184.0
3.0,2,210.0,210.0
3.0,1,155.0,155.0
3.0,2,185.0,185.0
4.0,1,165.0,165.0
3.0,1,125.0,125.0
,1,160.0,160.0
4.0,1,135.0,135.0
3.0,1,130.0,130.0
3.0,1,230.0,230.0
3.0,1,125.0,125.0
3.0,1,130.0,130.0
3.0,1,165.0,165.0
2.0,1,128.0,128.0
3.0,1,200.0,200.0
3.0,1,160.0,160.0
2.0,2,170.0,170.0
4.0,1,129.0,129.0
2.0,1,170.0,170.0
3.0,2,138.0,138.0
4.0,2,150.0,150.0
,1,170.0,170.0
,1,113.0,113.0
3.0,1,140.0,140.0
3.0,2,185.0,185.0
4.0,1,156.0,156.0
2.0,1,180.0,180.0
,1,120.0,120.0
4.0,2,135.0,135.0
,1,135.0,135.0
